alternativeId,name,address.streetAddress,address.addressLocality,address.addressRegion,address.postalCode,adress.addressCountry,location,telephone,opeId,ipedsId,url
100928,American Indian College,10020 N 15th Ave,Phoenix,AZ,85021,US,"Phoenix, AZ",602-944-3335,2199900,103787,www.aicag.edu
100937,American Institute of Trucking,440 S 54th Ave,Phoenix,AZ,85043-4729,US,"Phoenix, AZ",602-233-2222,2317800,103811,www.ait-schools.com
100946,Carrington College - Phoenix,8503 N 27th Ave,Phoenix,AZ,85051-4063,US,"Phoenix, AZ",602-433-1333,2100600,103893,www.apollocollege.edu
100973,College America - Flagstaff,1800 South Milton Road,Flagstaff,AZ,86001,US,"Flagstaff, AZ",928-526-0763,3120300,103945,www.collegeamerica.edu
100982,Arizona Academy of Beauty Inc,5631 E Speedway Blvd,Tucson,AZ,85712,US,"Tucson, AZ",520-885-4120,886400,103954,www.arizonaacademy.com
100991,Arizona Automotive Institute,6829 N 46th Ave,Glendale,AZ,85301-3579,US,"Glendale, AZ",800-528-0717,1084700,103963,www.aai.edu
101000,International Institute of the Americas,6049 N 43rd Ave,Phoenix,AZ,85019-1600,US,"Phoenix, AZ",602-242-6265,2218800,104090,www.iia.edu
101019,Arizona State University,P.O. Box 2203,Tempe,AZ,85287,US,"Tempe, AZ",480-965-9011,108100,104151,www.asu.edu
101028,Arizona Western College,P.O. Box 929,Yuma,AZ,85366,US,"Yuma, AZ",928-317-6000,107100,104160,www.azwestern.edu
101037,University of Arizona,1401 E University,Tucson,AZ,85721-0066,US,"Tucson, AZ",520-621-2211,108300,104179,www.arizona.edu
101046,Southwest University of Visual Arts,2525 North Country Club Road,Tucson,AZ,85716,US,"Tucson, AZ",520-325-0123,2491500,104188,www.theartcenter.EDU
101055,Brillare Hairdressing Academy - Scottsdale,"15147 North Scottsdale Road, Building H, Suite 300",Scottsdale,AZ,85254,US,"Scottsdale, AZ",480-994-4222,2561900,104294,attheacademy.com
101064,Central Arizona College,8470 N Overfield Rd,Coolidge,AZ,85228-9778,US,"Coolidge, AZ",520-426-4444,728300,104346,www.centralaz.edu
101082,Charles of Italy Beauty College,"1987 McCulloch Blvd, Suite 205",Lake Havasu City,AZ,86403,US,"Lake Havasu City, AZ",928-453-6666,2280500,104391,www.charlesofitaly.com
101091,Cochise College,4190 W. Highway 80,Douglas,AZ,85607,US,"Douglas, AZ",520-364-7943,107200,104425,www.cochise.edu
101125,Cortiva Institute - Desert Institute of the Healing Arts,6390 East Broadway Boulevard,Tucson,AZ,85710,US,"Tucson, AZ",520-882-0899,2582700,104504,www.desertinstitute.org
101134,DeVoe College of Beauty,750 Bartow Dr,Sierra Vista,AZ,85635-1832,US,"Sierra Vista, AZ",520-458-8660,2173300,104522,www.personal.riverusers.com/~devoe/index.html
101152,Avalon School of Cosmetology,2111 S Alma School Rd Ste 21,Mesa,AZ,85210,US,"Mesa, AZ",480-897-1722,1085800,104568,WWW.EARLSACADEMY.COM
101161,Eastern Arizona College,615 N. Stadium Ave.,Thatcher,AZ,85552-0769,US,"Thatcher, AZ",928-428-8322,107300,104577,www.eac.edu
101189,Frank Lloyd Wright School of Architecture,"Taliesin West, P.O. Box 4430",Scottsdale,AZ,85261,US,"Scottsdale, AZ",,2533200,104665,
101198,Maricopa Community Colleges - Glendale Community College,6000 W Olive Ave,Glendale,AZ,85302,US,"Glendale, AZ",623-845-3000,107600,104708,www.gc.maricopa.edu
101204,Grand Canyon University,3300 W Camelback Rd,Phoenix,AZ,85017,US,"Phoenix, AZ",602-589-2500,107400,104717,www.gcu.edu
101213,Anthem College - Phoenix,1515 E Indian School Road,Phoenix,AZ,85014,US,"Phoenix, AZ",602-279-9700,2263100,104805,www.hightechschools.com
101222,International Academy of Hair Design - Mesa,"1445 West Southern Avenue, Suite 2006",Mesa,AZ,85202,US,"Mesa, AZ",480-820-9422,1218400,104911,www.intlacademy.biz
101231,Lamson College,"875 West Elliot Road, Suite 206",Tempe,AZ,85284,US,"Tempe, AZ",480-898-7000,2521500,104984,www.lamsoncollege.com
101259,Kaplan College - Phoenix,"13450 N Black Canyon Hwy,  Ste 104",Phoenix,AZ,85029,US,"Phoenix, AZ",602-548-1955,2071200,105118,www.longtechnicalcollege.com
101268,Maricopa Beauty College,515 W Western Ave,Avondale,AZ,85323,US,"Avondale, AZ",623-932-4414,2192300,105127,
101277,Maricopa Community College System Office,2411 W 14th St,Tempe,AZ,85281-6942,US,"Tempe, AZ",480-731-8000,107500,105136,www.dist.maricopa.edu
101286,Maricopa Community Colleges - Gateway Community College,108 N. 40th Street,Phoenix,AZ,85034,US,"Phoenix, AZ",602-392-5000,830300,105145,www.gwc.maricopa.edu
101295,Maricopa Community Colleges - Mesa Community College,1833 W Southern Ave,Mesa,AZ,85202,US,"Mesa, AZ",602-461-7000,107700,105154,www.mc.maricopa.edu
101329,Mohave Community College,1971 Jagerson Ave,Kingman,AZ,86409-1238,US,"Kingman, AZ",928-757-4331,1186400,105206,www.mohave.edu
101338,Universal Technical Institute-Motorcycle Mechanics,2844 W Deer Valley Rd,Phoenix,AZ,85027,US,"Phoenix, AZ",623-869-9644,2100500,105215,uticorp.com
101347,Mundus Institute,"2001 W Camelback, Suite 140",Phoenix,AZ,85015,US,"Phoenix, AZ",602-246-7111,3004700,105242,WWW.MUNDUSINSTITUTE.COM
101356,Dine College,P.O. Box 126,Tsaile,AZ,86556,US,"Tsaile, AZ",520-724-6600,824600,105297,dinecollege.edu
101365,Northern Arizona University,P.O. Box 4092,Flagstaff,AZ,86011,US,"Flagstaff, AZ",928-523-9011,108200,105330,www.nau.edu
101374,Northland Pioneer College,103 N. First Ave,Holbrook,AZ,86025-0610,US,"Holbrook, AZ",928-524-7600,1186200,105349,www.npc.edu
101392,"Paralegal Institute, Inc.","7332 Butherus Drive, Suite 102",Scottsdale,AZ,85260,US,"Scottsdale, AZ",800-354-1254,,105385,www.theparalegalinstitute.edu
101408,Empire Beauty School - Glendale,10820 North 43rd Ave Ste 12,Glendale,AZ,85304,US,"Glendale, AZ",602-248-2828,1234300,105419,artisticbeautycolleges.com
101426,Phoenix Therapeutic Massage College,8010 East McDowell Road #214,Scottsdale,AZ,85257,US,"Scottsdale, AZ",480-945-9461,2623800,105482,ptmcaz.edu
101435,University of Phoenix,1625 Fountainhead Parkway,Tempe,AZ,85282,US,"Tempe, AZ",480-804-7600,2098800,484613,www.phoenix.edu/
101444,Pima Community College,4905C E. Broadway Blvd.,Tucson,AZ,85709-1005,US,"Tucson, AZ",520-206-4500,726600,105525,www.pima.edu
101453,Pima Medical Institute - Tucson,"3350 East Grant Road, Suite 200",Tucson,AZ,85716,US,"Tucson, AZ",520-326-1600,2217100,105534,www.pmi.edu
101471,Prescott College,220 Grove Ave,Prescott,AZ,86301,US,"Prescott, AZ",928-778-2090,2065300,105589,www.prescott.edu
101480,Refrigeration School Inc,4210 E Washington,Phoenix,AZ,85034-1816,US,"Phoenix, AZ",602-275-7133,1168900,105659,refrigerationschool.com
101505,Roberto-Venn School of Luthiery,4011 S 16th St,Phoenix,AZ,85040,US,"Phoenix, AZ",602-243-1179,2113800,105677,www.roberto-venn.com
101514,Hair Academy of Safford,1550 West Thatcher Blvd,Safford,AZ,85546,US,"Safford, AZ",928-428-0331,3005000,105701,
101541,Long Technical College - East Valley,4646 E. Van Buren Street  Suite #350,Phoenix,AZ,85008-1716,US,"Phoenix, AZ",602-252-2171,2181300,105880,www.lontechnicalcollege.com/
101569,Tucson College,"5151 East Broadway Boulevard, Suite 155",Tucson,AZ,85711,US,"Tucson, AZ",520-296-3261-104,446700,105987,www.tucsoncollege.edu
101578,Universal Technical Institute of Arizona Inc,10695 West Pierce Street,Avondale,AZ,85323,US,"Avondale, AZ",623-245-4600,822100,106041,uticorp.com
101587,Metropolitan College,"4129 E. Van Buren Street, Suite #100",Phoenix,AZ,85008-6940,US,"Phoenix, AZ",602-955-5900,3081200,106050,
101596,Western International University,1601 W. Fountainhead Parkway,Tempe,AZ,85282,US,"Tempe, AZ",602-943-2311,2171500,106102,www.wintu.edu
101611,Yavapai College,1100 E Sheldon St,Prescott,AZ,86301,US,"Prescott, AZ",928-445-7300,107900,106148,www.YC.EDU
101620,University of Arkansas at Little Rock,2801 S University Ave,Little Rock,AR,72204,US,"Little Rock, AR",501-569-3000,110100,106245,www.ualr.edu
101639,University of Arkansas for Medical Sciences,4301 W Markham,Little Rock,AR,72205,US,"Little Rock, AR",501-686-5454,110900,106263,www.uams.edu
101648,"ABC Beauty College, Inc.","203 South 26th Street, Suites B, C & D",Arkadelphia,AR,71923,US,"Arkadelphia, AR",870-246-6726,3065100,106281,
101657,Arkansas Baptist College,1621 Dr. Martin Luther King Drive,Little Rock,AR,72202,US,"Little Rock, AR",501-374-7856,108700,106306,www.arkansasbaptist.edu
101666,Arkansas Beauty School - Little Rock,5108 Baseline Rd,Little Rock,AR,72209,US,"Little Rock, AR",501-562-5673,3005100,106315,
101675,Arkansas Beauty School,109 N Commerce St,Russellville,AR,72801,US,"Russellville, AR",,3997300,106324,-1
101684,Lyon College,2300 Highland Road,Batesville,AR,72503,US,"Batesville, AR",870-793-9813,108800,106342,www.lyon.edu
101693,Arkansas College of Barbering and Hair Design,200 E Washington Ave,North Little Rock,AR,72114,US,"North Little Rock, AR",501-376-9696,3023400,106351,
101709,"Arthur's Beauty College, Inc - Fort Smith",2000 North B Street,Fort Smith,AR,72901-3342,US,"Fort Smith, AR",479-783-6245,2363500,106360,
101718,"University of Arkansas, Fayetteville",Administration Bldg. 425,Fayetteville,AR,72701,US,"Fayetteville, AR",479-575-4148,110800,106397,www.uark.edu
101727,University of Arkansas at Pine Bluff,1200 N University Mail Slot 4789,Pine Bluff,AR,71601,US,"Pine Bluff, AR",870-575-8000,108600,106412,www.uapb.edu
101736,Arkansas State University - Beebe,P.O. Box 1000,Beebe,AR,72012-1000,US,"Beebe, AR",501-882-3600,109100,106449,WWW.ASUB.EDU
101745,Arkansas State University,P.O. Box 600,State University,AR,72467,US,"State University, AR",870-972-3056,109000,106458,www.astate.edu
101754,Arkansas Tech University,"Administration Bldg. 200, 1509 North Boulder Avenue",Russellville,AR,72801-2222,US,"Russellville, AR",479-968-0389,108900,106467,www.atu.edu
101763,University of Arkansas at Monticello,Highway 425 South,Monticello,AR,71656,US,"Monticello, AR",870-367-6811,108500,106485,www.uamont.edu
101772,"Arthur's Beauty College, Inc. - Jacksonville",2600 John Harden Drive,Jacksonville,AR,72076,US,"Jacksonville, AR",501-982-8987,2538500,106494,arthursbeautycollege.com
101781,Baptist Health Schools Little Rock,"11900 Colonel Glenn Road, Suite 1000",Little Rock,AR,72210,US,"Little Rock, AR",501-202-6200,3105200,106546,www.bhslr.edu
101790,Bee-Jay's Hairstyling Academy,1907 Hinson Loop,Little Rock,AR,72212,US,"Little Rock, AR",501-224-2442,2260400,106607,
101806,Black River Technical College,1410 Hwy 304 East,Pocahontas,AR,72455,US,"Pocahontas, AR",870-248-4000,2052200,106625,www.blackrivertech.edu
101815,University of Central Arkansas,201 Donaghey Ave,Conway,AR,72035-0001,US,"Conway, AR",501-450-5000,109200,106704,www.uca.edu
101824,Central Baptist College,1501 College Ave,Conway,AR,72034,US,"Conway, AR",501-329-6872,109300,106713,www.cbc.edu
101833,Creative School of Cosmetology,100 E Main St,Blytheville,AR,72315,US,"Blytheville, AR",870-763-4012,3212300,106759,
101842,Cossatot Community College of the University of Arkansas,183 Hwy 399,De Queen,AR,71832,US,"De Queen, AR",870-584-4471,2220900,106795,cccua.edu
101851,Crowley's Ridge College,100 College Dr,Paragould,AR,72450,US,"Paragould, AR",870-236-6901,109500,106810,www.crowleysridgecollege.edu
101860,Crowleys Ridge Technical Institute,1620 Newcastle Road,Forrest City,AR,72335-0925,US,"Forrest City, AR",870-633-5411,704400,106829,www.crti.tec.ar.us
101879,De Luxe Beauty School,1609 West 26th Street,Pine Bluff,AR,71603-1666,US,"Pine Bluff, AR",870-534-7609,3116800,106838,
101888,East Arkansas Community College,1700 Newcastle Rd,Forrest City,AR,72335,US,"Forrest City, AR",870-633-4480-208,1226000,106883,WWW.EACC.EDU
101897,Eastern College of Health Vocations - Little Rock,200 South University Avenue,Little Rock,AR,72205,US,"Little Rock, AR",501-568-0211,2272400,106892,www.echv.com
101903,Imagine - Paul Mitchell Partner School,4201 East McCain Blvd.,North Little Rock,AR,72201-2516,US,"North Little Rock, AR",501-375-0211,3124900,106908,
101912,National Park College,101 College Dr,Hot Springs,AR,71913,US,"Hot Springs, AR",501-767-9314,1210500,106980,www.npcc.edu
101921,University of Arkansas Community College-Batesville,2005 White Drive,Batesville,AR,72503-3350,US,"Batesville, AR",870-793-7581,2073500,106999,www.uaccb.edu
101949,Harding University,915 E. Market Ave.,Searcy,AR,72149,US,"Searcy, AR",501-279-4000,109700,107044,www.harding.edu
101958,Henderson State University,1100 Henderson St,Arkadelphia,AR,71999-0001,US,"Arkadelphia, AR",870-230-5000,109800,107071,www.hsu.edu
101967,Hendrix College,1600 Washington Ave,Conway,AR,72032-3080,US,"Conway, AR",501-329-6811,109900,107080,www.hendrix.edu
101976,Hot Springs Beauty College,100 Cones Rd,Hot Springs,AR,71901,US,"Hot Springs, AR",501-624-4258,3007100,107099,
101985,Jefferson Regional Medical Center School of Nursing,1600 West 40th,Pine Bluff,AR,71603,US,"Pine Bluff, AR",870-541-7850,2330800,107123,www.jrmc.org
101994,John Brown University,2000 W University St,Siloam Springs,AR,72761,US,"Siloam Springs, AR",479-524-9500,110000,107141,www.jbu.edu
102003,Lee's School of Cosmetology,2700 West Pershing Boulevard,North Little Rock,AR,72114-3800,US,"North Little Rock, AR",501-758-2800,2525800,107211,
102012,Career Academy of Hair Design,346 East Robinson Avenue,Springdale,AR,72764,US,"Springdale, AR",479-756-6060,2341700,107220,beautyschool.edu
102021,Little Rock Job Corp Center,2020 Vance Street,Little Rock,AR,,US,"Little Rock, AR",,,107257,
102030,Marsha Kay Beauty College,408 Hwy 201 N,Mountain Home,AR,72653-3164,US,"Mountain Home, AR",870-425-7575,2287400,107275,
102049,Academy of Salon and Spa,311 South 16th Street,Fort Smith,AR,72901,US,"Fort Smith, AR",479-782-5059,1074100,107293,
102067,Mid-South Community College,2000 W.  Broadway,West Memphis,AR,72301-3829,US,"West Memphis, AR",870-733-6722,2348200,107318,www.midsouthcc.edu
102076,Arkansas Northeastern College,2501 South Division Street,Blytheville,AR,72316,US,"Blytheville, AR",870-762-1020-1114,1286000,107327,www.anc.edu
102085,"Margaret's Hair Academy, Inc.","1509 East Main Street, Suite #2",Russellville,AR,72801,US,"Russellville, AR",479-890-0215,3254300,107363,
102094,New Tyler Barber College Inc,1221 E 7th St,North Little Rock,AR,72114-4973,US,"North Little Rock, AR",501-375-0377,2284200,107442,
102100,North Arkansas College,1515 Pioneer Dr,Harrison,AR,72601-5508,US,"Harrison, AR",870-391-3200,1226100,107460,www.northark.edu
102119,Northwest Technical Institute,709 S Old Missouri Road,Springdale,AR,72764,US,"Springdale, AR",479-751-8824,2073700,107488,www.nti.tec.ar.us
102128,Ouachita Baptist University,410 Ouachita St,Arkadelphia,AR,71998-0001,US,"Arkadelphia, AR",870-245-5000,110200,107512,www.obu.edu
102137,College of the Ouachitas,One College Cir,Malvern,AR,72104-0816,US,"Malvern, AR",501-337-5000-1100,997600,107521,www.otcweb.edu
102146,Ozarka College,218 College Dr,Melbourne,AR,72556-0010,US,"Melbourne, AR",870-368-7371,2087000,107549,www.ozarka.edu
102155,University of the Ozarks,415 N College Ave,Clarksville,AR,72830,US,"Clarksville, AR",479-979-1000,109400,107558,www.ozarks.edu
102164,University of Arkansas Community College-Morrilton,1537 University Blvd.,Morrilton,AR,72110,US,"Morrilton, AR",501-977-2000,524500,107585,www.uaccm.edu
102173,Philander Smith College,900 W. Daisy Bates Drive,Little Rock,AR,72202-3799,US,"Little Rock, AR",501-375-9845,110300,107600,www.philander.edu
102182,Phillips Community College of the University of Arkansas,1000 Campus Dr,Helena,AR,72342-0785,US,"Helena, AR",870-338-6474,110400,107619,www.pccua.edu
102191,Southeast Arkansas College,1900 South Hazel Street,Pine Bluff,AR,71603,US,"Pine Bluff, AR",870-543-5900,570700,107637,www.seark.edu
102207,Professional Cosmetology Education Center,460 North Washington Avenue,El Dorado,AR,71730,US,"El Dorado, AR",870-864-9292,2202400,107655,
102216,Pulaski Technical College,3000 West Scenic Drive,North Little Rock,AR,72118,US,"North Little Rock, AR",501-812-2200,2075300,107664,www.pulaskitech.edu
102225,University of Arkansas Community College-Hope,2500 S Main,Hope,AR,71802-0140,US,"Hope, AR",870-722-8206,573200,107725,www.uacch.edu
102234,Rich Mountain Community College,1100 College Dr,Mena,AR,71953,US,"Mena, AR",479-394-7622-1100,2111100,107743,www.rmcc.edu
102243,Paul Mitchell The School Arkansas,4156 North Steele Boulevard,Fayetteville,AR,72703,US,"Fayetteville, AR",479-521-3571,792100,107789,
102252,St. Vincent Infirmary Medical Center,Two St. Vincent Circle,Little Rock,AR,72205-5499,US,"Little Rock, AR",,,107804,
