"5075","Advocate Illinois Masonic Medical Center","advocatehealth","836 W. Wellington Ave.","Chicago","IL","60657"
"5076","East Side Union High School District Adult School","aenet","625 Educational Park Drive","San Jose","CA","95133"
"5077","Academy of Aesthetic Arts","aestheticsarts","10316 Shawnee Mission Pkwy","Shawnee","KS","66203"
"5078","Bilingual Education Institute","aetas","6060 Richmond Avenue","Houston","TX","77063"
"5079","Aerobics and Fitness Association of America (AFAA) Distance Education Center","afaa","15250 Ventura Boulevard, Suite 200","Sherman Oaks","CA","91403"
"5080","Mercy Medical Center/Affinity Health System","affinityhealth","500 S. Oakwood Road","Oshkosh","WI","54903"
"5081","American Film Institute","AFI","2021 North Western Avenue","Los Angeles","CA","90027"
"5082","Northwest Aviation College","afsnac","506 23rd Street NE","Auburn","WA","98002"
"5083","Ohio State University Agricultural Technical Institute","ag","1328 Dover Rd","Wooster","OH","44691"
"5084","A Gathering Place Wellness Education Center","agatheringplace","12131 Dorsett Road, #101","Maryland Heights","MO","63043"
"5085","Agnes Scott College","agnesscott","141 E. College Ave","Decatur","GA","30030"
"5086","Assemblies of God Theological Seminary","agts","1435 N Glenstone Ave","Springfield","MO","65802"
"5087","American Graduate University","agu","733 North Dodsworth Avenue","Covina","CA","91724"
"5088","Inter American University of Puerto Rico - Aguadilla","aguadilla","Barrio Corrales Sector Calero, Road 459 Int. 463","Aguadilla","PR","602"
"5089","Academy of Healing Arts Massage and Facial Skin Care","ahamassage","3141 S Military Tr","Lake Worth","FL","33463"
"5090","The College of Health Care Professions","ahcp","240 Northwest Mall","Houston","TX","77092"
"5091","American Health Information Management Association","ahima","233 North Michigan Avenue, Suite 2150","Chicago","IL","60601"
"5092","American Health Science University","ahsu","1010 South Joliet, Suite 107","Aurora","CO","80012"
"5093","Aquinas Institute of Theology","ai","23 South Spring Avenue","St. Louis","MO","63108"
"5094","American Institute of Alternative Medicine","aiam","6685 Doubletree Ave","Columbus","OH","43229"
"5095","American Institute of Applied Science","aiasinc","100 Hunter Place","Youngsville","NC","27596"
"5096","AIB College of Business","aib","2500 Fleur Drive","Des Moines","IA","50321"
"5097","American Institute of Baking","aibonline","1213 Bakers Way","Manhattan","KS","66502"
"5098","American International College","aic","1000 State Street","Springfield","MA","1109"
"5099","The Art Institute of California - San Diego","aica","7650 Mission Valley Road","San Diego","CA","92108"
"5100","American Indian College of the Assemblies of God","aicag","10020 N 15th Ave","Phoenix","AZ","85021"
"5101","The Art Institute of California - Hollywood","aicdc","5250 Lankershim Boulevard","North Hollywood","CA","91601"
"5102","The Art Institute of Charlotte","aich","Three Lakepointe Plaza, 2110 Water Ridge Parkway","Charlotte","NC","28217"
"5103","American Institute of Clinical Massage","aicmtouch","4365 Inverness Drive","Post Falls","ID","83854"
"5104","The Art Institute of Fort Lauderdale Inc","aifl","1799 SE 17th St","Fort Lauderdale","FL","33316"
"5105","The Illinois Institute of Art - Chicago","aii","350 N Orleans St","Chicago","IL","60654"
"5106","Aiken School of Cosmetology","aikenschoolofcosmetology","225 Richland Avenue E","Aiken","SC","29801"
"5107","The Art Institute of California - Los Angeles","aila","2900 31st St","Santa Monica","CA","90405"
"5108","Ailano School of Cosmetology","ailanoschool","541 West St","Brockton","MA","2301"
"5109","The Art Institutes International Minnesota","aim","15 S 9th St","Minneapolis","MN","55402"
"5110","Aviation Institute of Maintenance - Atlanta","AIM-Atlanta","2025 Satellite Point","Duluth","GA","30096"
"5111","Atlanta Institute of Music","aim-music","2875 Breckinridge Boulevard","Duluth","GA","30096"
"5112","Acupuncture and Integrative Medicine College - Berkeley","aimc","2550 Shattuck Ave","Berkeley","CA","94704"
"5113","Aims Community College","aims","5401 W. 20th St.","Greeley","CO","80632"
"5114","American Institute of Massage Therapy","aimt","416 E. Atlantic Blvd.","Pompano Beach","FL","33060"
"5115","American Institute of Medical Technology","aimt-edu","4500 South Garnett, Suite 110","Tulsa","OK","74146"
"5116","American Institute of Massage Therapy - Santa Ana","aimtinc","1506 East Warner Avenue, Suite 110","Santa Ana","CA","92705"
"5117","The Art Institute of New York City","ainyc","11-17 Beach Street","New York","NY","10013"
"5118","American Institute of Allied Health","aioah","1310 South Stemmons Freeway","Lewisville","TX","75067"
"5119","Takoda Institute of Higher Education a Division of American Indian OIC","AIOIC","1845 E. Franklin Ave","Minneapolis","MN","55404"
"5120","The Art Institute of Pittsburgh","aip","420 Boulevard of the Allies","Pittsburgh","PA","15219"
"5121","The Art Institute of Portland","aipd","1122 NW Davis St.","Portland","OR","97209"
"5122","The Art Institute of Philadelphia","aiph","1622 Chestnut Street","Philadelphia","PA","19103"
"5123","American Institute of Pharmaceutical Technology","aiptnet","210 Lee Place","Hackensack","NJ","6701"
"5124","The Art Institute of Phoenix","aipx","2233 W Dunlap Ave","Phoenix","AZ","85021"
"5125","International Air and Hospitality Academy","airacademy","2901 E Mill Plain Blvd","Vancouver","WA","98661"
"5126","The Art Institute of Seattle","ais","2323 Elliott Ave","Seattle","WA","98121"
"5127","American Institute of Technology","ait-schools","440 S 54th Ave","Phoenix","AZ","85043"
"5128","Academy for Jewish Religion","ajrca","UCLA, 574 Hilgard Avenue","Los Angeles","CA","90024"
"5129","Alaska Christian College","akcc","35109 Royal Pl","Soldotna","AK","99669"
"5130","Akron Machining Institute Inc","akronmach","2959 Barber Rd","Norton","OH","44203"
"5131","Alamance Community College","alamancecc","1247 Jimmie Kerr Road","Graham","NC","27253"
"5132","Alamdea Adult School","alameda","2250 Central Avenue","Alameda","CA","94501"
"5133","Northwest Vista College","alamo","3535 North West Ellison Dr","San Antonio","TX","78251"
"5134","Alaska Pacific University","alaskapacific","4101 University Dr","Anchorage","AK","99508"
"5135","Alabama State University","alasu","915 S Jackson Street","Montgomery","AL","36104"
"5136","SUNY at Albany","albany","1400 Washington Avenue","Albany","NY","12222"
"5137","Albany Technical College","albanytech","1704 South Slappey Boulevard","Albany","GA","31701"
"5138","College of the Albemarle","albemarle","1208 North Road Street","Elizabeth City","NC","27906"
"5139","Albertus Magnus College","albertus","700 Prospect St","New Haven","CT","6511"
"5140","Albion College","albion","611 E Porter St","Albion","MI","49224"
"5141","Carlos Albizu University","albizu","San Francisco St Old San Juan","San Juan","PR","902"
"5142","Albright College","albright","1621 N. 13th St.","Reading","PA","19612"
"5143","Alice Lloyd College","alc","100 Purpose Rd","Pippa Passes","KY","41844"
"5144","Alcorn State University","alcorn","1000 ASU Dr Ste 359","Alcorn State","MS","39096"
"5145","Alegent Health School of Medical Assisting","alegent","810 N. 96th Street","Omaha","NE","68114"
"5146","MTTI /Montessori Teacher Training Institute (AMS)","alexandermontessori","6050 S.W. 57th Ave.","Miami","FL","33143"
"5147","Alexandria Technical College","alextech","1601 Jefferson Streeet","Alexandria","MN","56308"
"5148","Alfred University","alfred","One Saxon Dr","Alfred","NY","14802"
"5149","Adler Graduate School","alfredadler","1550 East 78th Street","Richfield","MN","55423"
"5150","SUNY College of Technology at Alfred","alfredstate","Huntington Administration Building","Alfred","NY","14802"
"5151","Alhambra Adult Education","alhambra","217 N. Garfield Avenue","Alhambra","CA","91801"
"5152","Allegany College of Maryland","allegany","12401 Willowbrook Rd SE","Cumberland","MD","21502"
"5153","Allegheny College","allegheny","520 N Main St","Meadville","PA","16335"
"5154","Allen County Community College","allencc","1801 N Cottonwood","Iola","KS","66749"
"5155","Allen College","allencollege","1825 Logan Avenue","Waterloo","IA","50703"
"5156","Allen School - Jamaica","allenschool","163-18 Jamaica Avenue","Jamaica","NY","11432"
"5157","Allen University","allenuniversity","1530 Harden Street","Columbia","SC","29204"
"5158","Alliant International University","alliant","10455 Pomerado Road","San Diego","CA","92131"
"5159","Allied American University","allied","22952 Alcalde Drive, Suite 150","Laguna Hills","CA","92653"
"5160","Allied Career Center","alliedcareercenter","1933 East Frankford Road, Suite 110","Carrollton","TX","75007"
"5161","Anthem College - Maryland Heights","alliedcollege","13723 Riverport Drive, Suite 103","Maryland Heights","MO","63043"
"5162","Allied Health Institute","alliedhealthinstitute","51 North State Road 7","Plantation","FL","33317"
"5163","Allied Business Schools","alliedschools","22952 Alcalde Drive","Laguna Hills","CA","92653"
"5164","Allied Medical and Technical Institute","alliedteched","201 Willowbrook Blvd.","Wayne","NJ","7470"
"5165","All Saints Bible College","allsaintsonline","930 Mason Street","Memphis","TN","38126"
"5166","All State Career School","allstatecareer","1200 Lebanon Road, Suite 101","West Mifflin","PA","15122"
"5167","Alma College","alma","614 W. Superior Street","Alma","MI","48801"
"5168","U.S. Army Logistics University","almc","2401 Quarters Road","Fort Lee","VA","23801"
"5169","Alpena Community College","alpenacc","665 Johnson Street","Alpena","MI","49707"
"5170","Alpine College","alpinecollege","10020 E. Knox Ave. Suite 500","Spokane Valley","WA","99206"
"5171","Albany Law School","als","80 New Scotland Avenue","Albany","NY","12208"
"5172","Altamaha Technical College","altamahatech","1777 W Cherry St","Jesup","GA","31545"
"5173","The Alternative Conjunction Clinic & School of MT","alternativeconjunction","716 State Street","Lemoyne","PA","17403"
"5174","Altoona Beauty School Inc","ALTOONABEAUTYSCHOOL","1528 Valley View Blvd.","Altoona","PA","16602"
"5175","Abraham Lincoln University","alu","3530 Wilshire Boulevard, Suite 1430","Los Angeles","CA","90010"
"5176","Alvernia College","alvernia","400 Saint Bernardine St","Reading","PA","19607"
"5177","Alverno College","alverno","3400 S 43rd  St","Milwaukee","WI","53234"
"5178","Alvin Community College","alvincollege","3110 Mustang Rd","Alvin","TX","77511"
"5179","Amberton University","amberton","1700 Eastgate Dr","Garland","TX","75041"
"5180","Anabaptist Mennonite Biblical Seminary","ambs","3003 Benham Ave","Elkhart","IN","46517"
"5181","Albany Medical College","amc","47 New Scotland Ave","Albany","NY","12208"
"5182","Acupuncture and Massage College","AMCOLLEGE","10506 N Kendall Dr","Miami","FL","33176"
"5183","American Musical and Dramatic Academy - Los Angeles","amda","6305 Yucca Street","Los Angeles","CA","90028"
"5184","American College","amercoll","270 Bryn Mawr Ave","Bryn Mawr","PA","19010"
"5185","American University","american","4400 Massachusetts Avenue N.W.","Washington","DC","20016"
"5186","American Academy of Hair Design","americanacademy","901 SW 37th St","Topeka","KS","66611"
"5187","Americana College","americanacollege","835 N. Western Avenue","Los Angeles","CA","90029"
"5188","American Beauty Institute","americanbeautyinstitutes","2009 North Main","McAlester","OK","74502"
"5189","American Career College - Los Angeles","americancareer","4021 Rosewood Avenue","Los Angeles","CA","90004"
"5190","American College of Hairstyling - Des Moines","americancollegeofhair","603 E Sixth St","Des Moines","IA","50309"
"5191","American Health Institute","americanhealthinstitute","10138 US Highway 19","Port Richey","FL","34668"
"5192","American Institute for Paralegal","americanparalegal","560 Lans Way","Ann Arbor","MI","48103"
"5193","American Pathways University","americanpathways","2227 Franklin Street","Denver","CO","80205"
"5194","American School of Business","AMERICANSCHOOLOFBUSINESS","702 Professional Drive North","Shreveport","LA","71105"
"5195","American Sentinel University - Aurora","americansentinel","2260 South Xanadu Way, Suite 310","Aurora","CO","80014"
"5196","Lincoln Technical Institute - Fern Park","americareschools","7275 Estapona Circle","Fern Park","FL","32730"
"5197","AmeriTech College - Provo","ameritech","2035 North 550 West","Provo","UT","84604"
"5198","Abington Memorial Hospital","amh","2500 Maryland Rd Ste 200","Willow Grove","PA","19090"
"5199","Amherst College","amherst","Boltwood Avenue","Amherst","MA","1002"
"5200","Wyotech","amiwrench","3042 W International Speedway Blvd","Daytona Beach","FL","32124"
"5201","American Museum of Natural History - Richard Gilder Graduate School","amnh","Central Park West at 79th Street","New York","NY","10024"
"5202","Amridge University","amridgeuniversity","1200 Taylor Rd","Montgomery","AL","36117"
"5203","U. S. Army Management Staff College","amsc","5500 21st Street, Ste. 1206","Ft. Belvoir","VA","22060"
"5204","Alhambra Medical University","amuedu","25 S. Raymond Avenue, Suite 201","Alhambra","CA","91801"
"5205","Anaheim University","anaheim","1240 S. State College Boulevard, Room 110","Anaheim","CA","92806"
"5206","Arkansas Northeastern College","anc","2501 South Division Street","Blytheville","AR","72316"
"5207","Ancilla College","ancilla","9601 Union Road","Donaldson","IN","46513"
"5208","Anderson University","anderson","1100 E 5th St","Anderson","IN","46012"
"5209","Anderson Medical Career College","andersonmedicalcollege","10752 Burbank Boulevard","North Hollywood","CA","91601"
"5210","Anderson University","andersonuniversity","316 Boulevard","Anderson","SC","29621"
"5211","Andover College","ANDOVERCOLLEGE","265 Western Avenue","South Portland","ME","4106"
"5212","Andrew College","andrewcollege","413 College St","Cuthbert","GA","39840"
"5213","Andrews University","andrews","US 31 North","Berrien Springs","MI","49104"
"5214","Charleston Area Medical Center- School of Nursing Anesthesia","anesthesiaschool","3110 Mac Corkle Ave. SE Room 2041","Charleston","WV","25304"
"5215","Angelina College","angelina","3500 South First","Lufkin","TX","75902"
"5216","Angelo State University","angelo","2601 W Avenue N","San Angelo","TX","76909"
"5217","Angley College","angley","520 West Lake Mary Boulevard, Suite 300","Sanford","FL","32773"
"5218","Anna Maria College","annamaria","10 Sunset Lane","Paxton","MA","1612"
"5219","Anoka-Ramsey Community College","anokaramsey","11200 Mississippi Blvd. NW","Coon Rapids","MN","55433"
"5220","Anoka Technical College","anokatech","1355 W Hwy 10","Anoka","MN","55303"
"5221","Saint Anselm College","anselm","100 Saint Anselm Drive","Manchester","NH","3102"
"5222","Antioch University","antioch","900 Dayton Street","Yellow Springs","OH","45387"
"5223","Antioch School of Church Planting and Leadership Development","antiochschool","2400 Oakwood Road","Ames","IA","50014"
"5224","Antonelli College - Cincinnati","ANTONELLI","124 East Seventh Street","Cincinnati","OH","45202"
"5225","Antonelli College - Jackson","antonellic","2323 Lakeland Drive","Jackson","MS","39232"
"5226","Andover Newton Theological School","ants","210 Herrick Rd","Newton Centre","MA","2459"
"5227","Cannella School of Hair Design","AOL","12943 South Western Avenue","Blue Island","IL","60406"
"5228","AOMA Graduate School of Integrative Medicine","aoma","2700 W Anderson Ln Ste 204","Austin","TX","78757"
"5229","Arnot Ogden Medical Center","aomc","600 Roe Avenue","Elmira","NY","14905"
"5230","Apex School of Theology","apexsot","2945 South Miami Blvd Ste 114","Durham","NC","27703"
"5231","Apex Technical School","apextechnical","635 Ave of the Americas","New York","NY","10011"
"5232","Academy for Practical Nursing and Health Occupations","APNHO","5154 Okeechobee Blvd Ste 201","West Palm Beach","FL","33417"
"5233","Apollo Career Center","APOLLOCAREERCENTER","3325 Shawnee Rd","Lima","OH","45801"
"5234","Carrington College - Phoenix","apollocollege","8503 N 27th Ave","Phoenix","AZ","85051"
"5235","Appalachian Technical College","appalachiantech","100 Campus Drive","Jasper","GA","30143"
"5236","The Apprenticeship School - Newport News Shipbuilding","apprenticeschool","4101 Washington Avenue","Newport News","VA","23607"
"5237","Appalachian State University","appstate",,"Boone","NC","28608"
"5238","Austin Peay State University","apsu","601 College St","Clarksville","TN","37044"
"5239","Azusa Pacific Online University","apu","511 West Citrus Edge Street","Glendora","CA","91740"
"5240","American Public University System","apus","111 West Congress Street","Charles Town","WV","25414"
"5241","Aquinas College","aquinas","1607 Robinson Rd SE","Grand Rapids","MI","49506"
"5242","Aquinas College","aquinascollege","4210 Harding Roadd","Nashville","TN","32705"
"5243","Arapahoe Community College","arapahoe","5900 S. Santa Fe Dr.","Littleton","CO","80160"
"5244","Spring Arbor University","arbor","106 E. Main St","Spring Arbor","MI","49283"
"5245","Academy of Radio and Television Broadcasting","arbradio","16052 Beach Boulevard, Suite 263N","Huntington Beach","CA","92647"
"5246","American River College","arc","4700 College Oak Dr","Sacramento","CA","95841"
"5247","Arcadia University","arcadia","450 S Easton Rd","Glenside","PA","19038"
"5248","Saint Joseph's Seminary","archny","201 Seminary Ave (Dunwoodie)","Yonkers","NY","10704"
"5249","Inter American University of Puerto Rico - Arecibo","arecibo","P.O. Box 4050, Bo. San Daniel Sector Las Canelas,","Arecibo","PR","614"
"5250","University of Arizona","arizona","1401 E University","Tucson","AZ","85721"
"5251","Arizona Academy of Beauty - North","arizonaacademy","4066 North Oracle Road","Tucson","AZ","85705"
"5252","Arizona College","arizonacollege","4425 W Olive Avenue, Suite 300","Glendale","AZ","85302"
"5253","Howard, Mohorn & Associates Dale Carnegie Training","arkansas","#3 Office Park Drive, Suite 104","Little Rock","AR","72211"
"5254","Arkansas Baptist College","arkansasbaptist","1621 Dr. Martin Luther King Drive","Little Rock","AR","72202"
"5255","Arlington Career Institute","arlingtonci","901 Ave K","Grand Prairie","TX","75050"
"5256","Arlington Medical Institute","arlingtonmedicalinst","1001 N.E. Green Oaks Boulevard, Suite 190","Arlington","TX","76006"
"5257","Armstrong Atlantic State University","armstrong","11935 Abercorn St","Savannah","GA","31419"
"5258","Army Transportation and Aviation Logistics School","army","711 B Avenue, Bldg 2300","Ft. Lee","VA","23801"
"5259","Arnot Ogden Medical Center School of Radiologic Technology","arnothealth","600 Roe Avenue","Elmira","NY","14905"
"5260","Art Academy of Cincinnati","artacademy","1212 Jackson Street","Cincinnati","OH","45202"
"5261","Art Center College of Design","artcenter","1700 Lida St","Pasadena","CA","91103"
"5262","Arthur's Beauty College, Inc. - Conway","arthursbeautycollege","2320 Washington Avenue","Conway","AR","72032"
"5263","School of the Art Institute of Chicago","artic","37 S Wabash","Chicago","IL","60603"
"5264","Miami International University of Art and Design","artinstitutes","1501 Biscayne Boulevard","Miami","FL","33132"
"5265","Art Instruction Schools","artinstructionschools","3400 Technology Drive","Minneapolis","MN","55418"
"5266","The Artistic Academy of Hair Design","artisticacademy","301 Gibraltar Drive, Suite 1-A","Morris Plains","NJ","7950"
"5267","ASA Institute of Business and Computer Technology","asa","151 Lawrence Street","Brooklyn","NY","11201"
"5268","Arizona School of Acupuncture and Oriental Medicine","asaom","4646 East Fort Lowell Rd., Suite 103","Tucson","AZ","85712"
"5269","Asbury University","asbury","1 Macklem Drive","Wilmore","KY","40390"
"5270","Asbury Theological Seminary","asburyseminary","204 N Lexington Ave","Wilmore","KY","40390"
"5271","Stroudsburg School of Cosmetology","asc-ssc","100 North 8th St","Stroudsburg","PA","18360"
"5272","Alabama Southern Community College","ascc","2800 South Alabama Avenue","Monroeville","AL","36460"
"5273","Ascension College","ascensioncollege","320 E Ascension St","Gonzales","LA","70737"
"5274","Academy of Somatic Healing Arts (ASHA)","ashamassage","6251 Smithpointe Drive","Norcross","GA","30092"
"5275","Asher College","asher","1215 Howe Avenue, Suite 101","Sacramento","CA","95825"
"5276","Ashford University","ashford","400 North Bluff Blvd.","Clinton","IA","52732"
"5277","Ashland Community and Technical College","ashland","1400 College Drive","Ashland","KY","41101"
"5278","Ashworth Career Programs","ashworthcollege","6625 The Corners Parkway, Suite 500","Norcross","GA","30092"
"5279","Asian Institute of Medical Studies","asianinstitute","3131 N. Country Club Road, Suite 100","Tucson","AZ","85716"
"5280","Appalachian School of Law","asl","1169 Edgewater Drive","Grundy","VA","24614"
"5281","Kaplan International Centers","aspectworld","1531 Chapala Street, Suite 1","Santa Barbara","CA","93101"
"5282","Aspen University","aspen","720 South Colorado Boulevard, Suite 1150-N","Denver","CO","80246"
"5283","ASPIRA, Inc. de Puerto Rico","aspirapr","P.O. Box 29132","San Juan","PR","929"
"5284","Bergin University of Canine Studies","assistancedog","5860 Labath Avenue","Rohnert Park","CA","94928"
"5285","Associated Technical College","associatedtechcollege","1593 E Vista Way, Suite C","Vista","CA","92084"
"5286","Alexandria School of Scientific Therapeutics","assti","809 S Harrison St","Alexandria","IN","46001"
"5287","Assumption College","assumption","500 Salisbury St","Worcester","MA","1609"
"5288","American School of Technology","ast","4599 Morse Center Road","Columbus","OH","43229"
"5289","Arkansas State University","astate","P.O. Box 600","State University","AR","72467"
"5290","Astrodome Career Centers","astrodomecareercenter","2656 South Loop West, Suite 380","Houston","TX","77054"
"5291","Arizona State University","asu","P.O. Box 2203","Tempe","AZ","85287"
"5292","Arkansas State University - Beebe","ASUB","P.O. Box 1000","Beebe","AR","72012"
"5293","Arkansas State University Mountain Home","asumh","1600 South College Street","Mountain Home","AR","72653"
"5294","Arkansas State University - Newport","asun","7648 Victory Blvd.","Newport","AR","72112"
"5295","At-Home Professions","at-homeprofessions","2001 Lowe Street","Fort Collins","CO","80525"
"5296","Aiken Technical College","atc","2276 Jefferson Davis Highway","Graniteville","SC","29829"
"5297","Athenaeum of Ohio","athenaeum","6616 Beechmont Ave","Cincinnati","OH","45230"
"5298","Athens State University","athens","300 N Beaty St","Athens","AL","35611"
"5299","Athens Technical College","athenstech","800 US Hwy 29 N","Athens","GA","30601"
"5300","ATI College - Santa Ana","ati","1125 E. 17th Street,  Suite N251","Santa Ana","CA","92701"
"5301","ATI Career Training Center - Dallas","aticareertraining","10003 Technology Blvd. West","Dallas","TX","75220"
"5302","Atlanta Ballet Centre for Dance Education","atlantaballet","1695 Marietta Boulevard","Atlanta","GA","30318"
"5303","Atlanta School of Massage","atlantaschoolofmassage","2 Dunwoody Park South","Atlanta","GA","30338"
"5304","Atlanta Technical College","atlantatech","1560 Metropolitan Pkwy, S.W.","Atlanta","GA","30310"
"5305","Atlantic Cape Community College","ATLANTIC","5100 Black Horse Pike","Mays Landing","NJ","8330"
"5306","Atlantic University College","atlanticcollege-pr","Colton St. # 9","Guaynabo","PR","970"
